date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:29	326/326	---M--	200	added ('OK')	text/html	etag:%2291811e5-146-52135789ca365%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/css/openhand.html	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:29	326/326	---M--	200	added ('OK')	text/html	etag:%2291811e3-146-52135789ca365%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/css/closedhand.html	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:29	933/933	---M--	200	added ('OK')	image/png	etag:%2291811d2-3a5-52135789c93c5%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:30	931/931	---M--	200	added ('OK')	image/png	etag:%2291811cf-3a3-52135789c93c5%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:30	938/938	---M--	200	added ('OK')	image/png	etag:%2291811d3-3aa-52135789c93c5%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:30	58188/58188	---M--	200	added ('OK')	application/x-font-ttf	etag:%229180a55-e34c-51fce2a081ae7%22	http://corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfont.ttf?85610117	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfontdde9.ttf	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:30	11968/11968	---M--	200	added ('OK')	application/x-font-ttf	etag:%22918120b-2ec0-52135789cc2a5%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:30	935/935	---M--	200	added ('OK')	image/png	etag:%2291811d0-3a7-52135789c93c5%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:30	184/184	---M--	200	added ('OK')	image/png	etag:%2291811d1-b8-52135789c93c5%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:31	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2291811d5-9f1-52135789c97ad%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
